symbol,date,entered,return_pct,ret_30m,full_return,entry_price,exit_price,exit_reason
DATAPATTNS,2023-02-28 00:00:00,False,0.0,3.014950166112953,5.744577924695638,,,no_pullback
ADANIENT,2023-02-28 00:00:00,True,0.42,2.7598253275109093,16.60292367839539,1223.5,1229.9,trailing_stop
ATGL,2023-03-01 00:00:00,True,-1.48,9.607692307692314,0.0,698.65,688.99,trailing_stop
ADANIENSOL,2023-03-01 00:00:00,True,1.88,6.88836104513064,0.0,661.9,675.0,close_1515
POLYMED,2023-03-01 00:00:00,True,-0.62,5.940279542566711,0.8495752123938031,991.3,986.12,trailing_stop
ADANIENT,2023-03-02 00:00:00,True,-0.6,6.923794919661304,-0.9820732657833203,1603.5,1595.44,trailing_stop
TITAGARH,2023-03-02 00:00:00,True,-1.69,5.689378297774722,-3.733449099196872,230.8,227.12,trailing_stop
JBMA,2023-03-02 00:00:00,True,0.57,3.763629968343295,-1.864406779661017,293.5,295.47,trailing_stop
UCOBANK,2023-03-03 00:00:00,True,2.28,4.942965779467683,1.8115942028985508,27.25,27.9,close_1515
BANKINDIA,2023-03-03 00:00:00,False,0.0,4.780660057041981,0.3110823071937717,,,no_pullback
MAHABANK,2023-03-03 00:00:00,True,1.74,4.5714285714285685,1.0928961748633905,27.1,27.6,close_1515
APTUS,2023-03-06 00:00:00,True,4.99,6.176716917922947,11.891145730625114,255.5,268.52,trailing_stop
FINCABLES,2023-03-06 00:00:00,True,-1.67,6.051427466649472,-5.3232863393291145,833.3,820.16,trailing_stop
ADANIENT,2023-03-06 00:00:00,True,-1.43,5.122794528906278,-4.09199738808677,2096.0,2068.09,trailing_stop
KIRLOSENG,2023-03-08 00:00:00,True,2.88,7.2928994082840175,7.555494278229707,365.45,376.37,trailing_stop
AEGISLOG,2023-03-08 00:00:00,True,-1.28,6.731027085009392,-1.9723618090452317,395.7,391.02,trailing_stop
GESHIP,2023-03-08 00:00:00,False,0.0,4.002079002078986,1.3659836748292598,,,no_pullback
USHAMART,2023-03-09 00:00:00,True,-0.48,6.129685916919956,0.5966587112171837,208.55,207.76,trailing_stop
JINDALSAW,2023-03-09 00:00:00,True,1.03,6.040268456375842,0.4602991944763999,86.15,87.12,trailing_stop
RITES,2023-03-09 00:00:00,False,0.0,3.7142857142857144,1.790633608815427,,,no_pullback
OLECTRA,2023-03-10 00:00:00,True,-1.49,4.047965116279073,-1.07564433889782,705.4,695.55,trailing_stop
JBMA,2023-03-10 00:00:00,True,-1.46,4.0188383045525935,-2.263809236341684,331.05,326.54,trailing_stop
ATGL,2023-03-10 00:00:00,False,0.0,3.807692307692305,0.5240035992166459,,,no_pullback
YESBANK,2023-03-13 00:00:00,True,-1.49,5.902777777777775,2.6229508196721336,16.0,15.78,trailing_stop
ELGIEQUIP,2023-03-13 00:00:00,True,-1.4,4.184322033898305,-2.8978139298423997,486.5,480.15,trailing_stop
TECHM,2023-03-13 00:00:00,True,-0.42,2.4784182678919566,-1.612318840579706,1090.1,1086.6,close_1515
USHAMART,2023-03-14 00:00:00,True,-1.38,3.6153289949385394,-1.6050244242847123,211.75,209.03,trailing_stop
BDL,2023-03-14 00:00:00,True,0.29,3.1972178595467806,-1.2936188716164776,454.05,455.8,close_1515
BAJAJHLDNG,2023-03-14 00:00:00,True,-1.54,3.167900375908725,-1.9903691813804174,6135.15,6046.7,trailing_stop
CHENNPETRO,2023-03-15 00:00:00,True,1.62,5.191202694670099,1.6387266905255313,263.95,268.5,close_1515
RKFORGE,2023-03-15 00:00:00,True,-0.77,4.319180087847735,-1.0701754385964952,286.55,284.64,trailing_stop
SUZLON,2023-03-15 00:00:00,True,-0.72,3.205128205128217,-1.863354037267085,8.0,7.95,close_1515
HINDPETRO,2023-03-16 00:00:00,True,3.45,2.4190547078526237,3.6337209302325584,135.85,140.68,trailing_stop
AUROPHARMA,2023-03-16 00:00:00,True,0.45,2.334715252018326,1.4925373134328357,469.5,472.1,close_1515
BPCL,2023-03-16 00:00:00,False,0.0,2.292993630573245,2.4906600249066004,,,no_pullback
